crop,state,rainfall_mm,temperature_c,soil_moisture_pct,soil_ph,fertilizer_kg_ha,farm_size_ha,yield_tons_ha
soybean,Punjab,1455.6,28.8,38.6,6.9,90.9,1.34,4.882
cotton,MP,650.8,35.8,84.6,7.88,80.1,9.45,3.341
wheat,MP,405.7,10.3,32.6,6.79,120.0,14.62,5.366
groundnut,Maharashtra,767.7,37.8,67.4,6.2,111.6,7.03,3.685
wheat,Punjab,1153.8,18.4,42.7,6.58,81.6,3.99,7.265
soybean,Maharashtra,1418.4,23.1,58.6,6.99,101.8,8.43,5.495
groundnut,Karnataka,1178.7,35.1,62.9,6.91,113.7,13.87,4.076
tomato,AP,831.8,25.0,45.2,6.95,241.1,4.8,54.751
tomato,Telangana,412.5,23.1,30.8,6.09,194.0,3.38,43.495
cotton,Karnataka,1433.7,34.8,54.7,7.83,148.0,1.88,4.332
soybean,MP,892.7,28.8,56.0,6.96,142.1,2.23,5.084
wheat,MP,795.0,17.8,35.9,6.64,82.5,0.96,6.267
soybean,Telangana,882.9,26.1,52.6,7.36,97.5,11.46,3.869
wheat,AP,1046.5,19.5,40.3,7.31,160.4,13.44,6.846
cotton,AP,709.9,30.3,65.6,7.81,101.8,0.51,3.011
groundnut,Maharashtra,792.2,27.9,81.9,5.68,80.3,5.19,3.233
rice,Punjab,1236.4,34.6,57.3,6.94,125.2,4.86,9.375
groundnut,Karnataka,741.5,33.2,54.6,6.52,91.9,8.52,3.939
soybean,Punjab,672.8,24.4,55.9,6.36,136.2,14.76,4.974
rice,Telangana,1184.9,24.4,67.3,5.56,159.1,0.74,9.283
cotton,Maharashtra,913.8,26.4,58.5,7.88,111.8,12.65,3.612
wheat,MP,956.6,13.4,58.4,6.26,178.2,4.28,8.587
rice,MP,1876.7,33.7,49.2,6.45,133.9,11.03,11.9
cotton,Telangana,745.5,38.5,35.6,7.21,80.7,10.12,3.292
tomato,AP,528.6,24.6,42.3,6.54,247.8,10.83,52.196
maize,Maharashtra,1157.6,28.5,44.6,5.91,156.8,4.04,9.729
groundnut,MP,775.2,36.6,57.6,6.45,107.7,8.87,3.491
tomato,Maharashtra,857.6,27.2,55.8,5.57,299.2,4.55,58.692
groundnut,Maharashtra,1023.4,37.4,61.5,6.0,93.2,14.71,3.599
soybean,Telangana,885.2,22.0,68.3,6.84,145.5,8.77,5.112
wheat,MP,686.9,13.8,76.7,6.44,112.3,2.48,7.49
wheat,AP,1048.1,23.0,57.6,7.37,131.1,12.08,7.568
rice,MP,1755.0,33.6,35.2,6.01,137.6,8.89,9.971
soybean,MP,857.9,27.1,75.2,6.05,82.6,5.72,4.444
maize,Karnataka,1022.2,31.5,34.7,6.06,182.3,1.25,11.042
soybean,Punjab,719.5,31.6,51.9,7.07,82.9,6.79,4.25
wheat,AP,420.3,24.4,52.5,7.25,149.6,3.01,5.837
groundnut,MP,1000.2,33.6,70.6,5.92,117.3,8.54,3.817
